venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
"Empire Stadium
(Wembley)",Existing,"Athletics, Opening and
Closing Ceremonies",In use (rebuilt),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Lyons Sports Ground,
Sudbury Hill",Existing,Field hockey,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Polytechnic Stadium,Existing,Field hockey,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Herne Hill Track/
Velodrome",Existing,Cycling (track),In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Champion Hill,Existing,Football,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Craven Cottage,Existing,Football,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Selhurst Park,Existing,Football,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Finchley Pool,Existing,Water polo,In use (rebuilt),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
White Hart Lane,Existing,Football,In use (rebuilt),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Empire Pool,Existing,"Swimming, diving, water
polo, boxing",In use (repurposed),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Griffin Park,Existing,Football,Not in use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Guinness Sports Ground,
Park Royal",Existing,Field hockey,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Empress Hall (Earl’s Court),Existing,"Boxing, wrestling,
weightlifting,
gymnastics",Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Arsenal Stadium
(Highbury Stadium)",Existing,Football,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Green Pond Road,Existing,Football,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Harringay Arena,Existing,Basketball,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Lynn Road,Existing,Football,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Palace of Engineering
(Wembley Empire
Exhibition Site)",Existing,Fencing,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Central Gymnasium or
Command Central
Gymnasium",Existing,"Modern pentathlon
(fencing)",In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Aldershot Command
Central Stadium",Existing,"Eventing, dressage",In use (rebuilt),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Tweseldown
Racecourse",Existing,"Eventing, modern
pentathlon (equestrian)",In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Aldershot Pool/
Aldershot Lido",Existing,"Modern pentathlon
(swimming)",In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Bisley (Bisley National Rifle
Association Ranges)",Existing,"Shooting, modern pentathlon (shooting)",In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Fratton Park,Existing,Football,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Royal Military Academy,
Sandhurst",Existing,"Modern pentathlon
(running)",In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Torbay,Existing,Sailing,In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Henley-on-Thames (site of
the Royal Regatta Course)",Existing,"Rowing, canoe",In use,1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Goldstone Ground,Existing,Football,Not in use (demolished),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
Windsor Great Park,Temporary,Cycling (road),Dismantled (temporary),1948,London,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29
"Exhibition Hall I, II
(Messuhalli I, II)",Existing,"Artistic gymnastics,
basketball, boxing,
wrestling, weightlifting",In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
